City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
255,Cesme,TR,38.3228,26.3064,78.51,68,0,18.84,clear sky
256,Porbandar,IN,21.6422,69.6093,81.84,86,100,18.63,overcast clouds
257,Curvelo,BR,-18.7564,-44.4308,66.99,33,0,1.36,clear sky
258,Tessaoua,NE,13.7574,7.9874,72.61,78,100,10.09,overcast clouds
259,Brae,GB,60.3964,-1.353,58.91,95,86,14.16,overcast clouds
260,Rumoi,JP,43.9344,141.6428,74.12,74,47,3.96,scattered clouds
261,Katangli,RU,51.7102,143.2326,64.51,95,97,4.63,overcast clouds
262,Tura,IN,25.5198,90.2201,75.76,94,100,3.76,light rain
263,Kirensk,RU,57.7853,108.1119,61.36,69,58,1.7,broken clouds
264,Dongsheng,CN,39.8161,109.9776,64.58,63,0,5.95,clear sky
265,Laguna De Perlas,NI,12.3429,-83.6712,80.69,78,93,10.49,overcast clouds
266,Trelew,AR,-43.249,-65.3051,42.13,58,99,25.43,overcast clouds
267,Upernavik,GL,72.7868,-56.1549,45.5,74,100,0.6,light rain
268,La Ronge,CA,55.1001,-105.2842,73.65,49,20,1.14,few clouds
269,Bolgatanga,GH,10.7856,-0.8514,79.41,69,39,7.16,scattered clouds
270,Chino Valley,US,34.7575,-112.4538,85.15,65,75,1.99,broken clouds
271,Guerrero Negro,MX,27.9769,-114.0611,78.69,54,0,14.32,clear sky
272,Karratha,AU,-20.7377,116.8463,67.93,73,54,7.96,broken clouds
273,Caramay,PH,10.1815,119.236,79.41,75,99,3.42,overcast clouds
274,Fort Saint James,CA,54.4333,-124.25,67.01,56,74,7.23,broken clouds
275,Kruisfontein,ZA,-34.0033,24.7314,65.88,26,74,13.85,broken clouds
276,Naze,JP,28.3667,129.4833,77.92,86,100,13.11,overcast clouds
277,Kamiiso,JP,41.8167,140.65,77.38,65,75,3.44,broken clouds
278,Kamenka,RU,51.3223,42.7678,62.26,52,1,5.88,clear sky
279,Oranjemund,NA,-28.55,16.4333,61.23,62,0,7.36,clear sky
